gene_stable_id,gene_name
ENSDARG00000000151,thraa
ENSDARG00000000175,hoxb2a
ENSDARG00000000476,pms1
ENSDARG00000000767,spi1b
ENSDARG00000000796,nr4a1
ENSDARG00000001210,arl14ep
ENSDARG00000001241,puf60b
ENSDARG00000001621,nfyal
ENSDARG00000001785,irx2a
ENSDARG00000001829,zgc:112982
ENSDARG00000001859,dbx1b
ENSDARG00000001910,rorab
ENSDARG00000002006,rxrbb
ENSDARG00000002031,tox4a
ENSDARG00000002196,bach1b
ENSDARG00000002216,tbx3a
ENSDARG00000002271,zfand5b
ENSDARG00000002330,lhx8a
ENSDARG00000002365,cers5
ENSDARG00000002402,ercc3
ENSDARG00000002510,dmbx1b
ENSDARG00000002582,tbx15
ENSDARG00000002601,irx7
ENSDARG00000002613,rpa3
ENSDARG00000002707,her11
ENSDARG00000002779,pdx1
ENSDARG00000002795,meis3
ENSDARG00000002933,gbx2
ENSDARG00000002937,meis1a
ENSDARG00000002971,phc1
ENSDARG00000003098,kdm5bb
ENSDARG00000003165,nr2f6b
ENSDARG00000003200,foxm1
ENSDARG00000003251,zbtb22b
ENSDARG00000003293,sox9a
ENSDARG00000003398,rbpja
ENSDARG00000003429,hnrnpdl
ENSDARG00000003607,nr2f6a
ENSDARG00000003631,clockb
ENSDARG00000003732,mitfa
ENSDARG00000003749,polb
ENSDARG00000003803,LHX3
ENSDARG00000003820,nr1d2a
ENSDARG00000003877,pbrm1
ENSDARG00000003938,rpa1
ENSDARG00000003965,tlx1
ENSDARG00000003971,isl2a
ENSDARG00000004023,isl1
ENSDARG00000004060,bhlhe40
ENSDARG00000004074,bach2b
ENSDARG00000004111,esr1
ENSDARG00000004274,zgc:112496
ENSDARG00000004415,tcf7l2
ENSDARG00000004473,tbx21
ENSDARG00000004527,pin4
ENSDARG00000004529,zgc:173742
ENSDARG00000004537,kmt2a
ENSDARG00000004588,sox4a
ENSDARG00000004695,six4a
ENSDARG00000004697,rxrgb
ENSDARG00000004712,tbr1b
ENSDARG00000004757,ybx1
ENSDARG00000004843,foxp1a
ENSDARG00000004861,esrrga
ENSDARG00000004864,foxr1
ENSDARG00000005026,tshz1
ENSDARG00000005218,wrnip1
ENSDARG00000005236,srcap
ENSDARG00000005394,dnmt3aa
ENSDARG00000005453,foxp2
ENSDARG00000005559,pou4f1
ENSDARG00000005574,vsx2
ENSDARG00000005883,rfx1a
ENSDARG00000006003,mycla
ENSDARG00000006124,kdm5c
ENSDARG00000006206,pou4f3
ENSDARG00000006266,stat1a
ENSDARG00000006350,nkx1.2la
ENSDARG00000006389,smad2
ENSDARG00000006408,hmgb3b
ENSDARG00000006434,polr1e
ENSDARG00000006514,her6
ENSDARG00000006524,supt6h
ENSDARG00000006615,hnf1ba
ENSDARG00000006640,eomesa
ENSDARG00000006791,arntl1a
ENSDARG00000006837,mycn
ENSDARG00000006896,lhx6
ENSDARG00000006939,tbx16l
ENSDARG00000007009,hoxa11b
ENSDARG00000007034,hnrpkl
ENSDARG00000007097,her13
ENSDARG00000007271,mynn
ENSDARG00000007277,myf5
ENSDARG00000007315,tmpoa
ENSDARG00000007329,tbx16
ENSDARG00000007349,dmrt1
ENSDARG00000007369,tcf7l1b
ENSDARG00000007387,irf2a
ENSDARG00000007406,phox2a
ENSDARG00000007407,barx1
ENSDARG00000007413,arid2
ENSDARG00000007430,prdm12b
ENSDARG00000007720,sub1b
ENSDARG00000007812,sp3b
ENSDARG00000007823,atf3
ENSDARG00000007824,camta1b
ENSDARG00000007891,meox1
ENSDARG00000007941,hmx4
ENSDARG00000007944,lhx1b
ENSDARG00000007982,onecut1
ENSDARG00000007996,pou2f1b
ENSDARG00000008010,zgc:194189
ENSDARG00000008119,si:ch211-195d17.2
ENSDARG00000008133,foxl1
ENSDARG00000008174,hoxb1a
ENSDARG00000008203,pax1a
ENSDARG00000008209,myt1la
ENSDARG00000008472,apex2
ENSDARG00000008551,pole3
ENSDARG00000008796,her5
ENSDARG00000008805,orc3
ENSDARG00000008818,hsf1
ENSDARG00000008861,tfap2e
ENSDARG00000008886,msx1b
ENSDARG00000008904,smarca2
ENSDARG00000008947,rtf1
ENSDARG00000009094,gata2b
ENSDARG00000009134,hlx1
ENSDARG00000009242,fev
ENSDARG00000009418,mef2cb
ENSDARG00000009470,hnf1a
ENSDARG00000009473,ppardb
